Month,Line,Day Type,Crew Availability,External Factors,Infrastructure & Equipment,Operating Conditions,Planned ROW Work,Police & Medical
2020-03-01,G,2,6,1,1,16,16,3
2020-03-01,JZ,1,60,4,21,63,19,24
2020-03-01,JZ,2,6,1,6,29,9,21
2020-03-01,L,1,9,1,15,3,27,10
2020-03-01,L,2,1,0,0,0,3,6
2020-03-01,M,1,18,2,2,50,12,20
2020-03-01,M,2,8,0,8,13,8,13
2020-03-01,N,1,49,1,49,87,71,53
2020-03-01,N,2,16,1,8,25,33,12
2020-03-01,Q,1,18,3,33,45,30,38
2020-03-01,Q,2,4,0,13,20,11,16
2020-03-01,R,1,17,2,27,24,17,30
2020-03-01,R,2,3,0,3,8,4,9
2020-03-01,S 42nd,1,2,0,3,4,0,0
2020-03-01,S 42nd,2,4,0,1,0,0,2
2020-03-01,S Fkln,1,1,0,2,0,0,0
2020-03-01,S Fkln,2,3,0,1,0,0,2
2020-03-01,S Rock,1,1,12,3,2,4,2
2020-03-01,S Rock,2,2,2,1,0,0,1
2020-04-01,1,1,9,1,5,3,9,16
2020-04-01,1,2,5,1,1,2,1,2
2020-04-01,2,1,10,0,14,13,13,40
2020-04-01,2,2,4,1,7,9,2,19
2020-04-01,3,1,7,0,8,9,10,16
2020-04-01,3,2,5,0,3,6,1,5
2020-04-01,4,1,15,0,15,9,20,31
2020-04-01,4,2,5,0,7,4,4,10
2020-04-01,5,1,3,3,3,31,14,21
2020-04-01,5,2,4,1,4,3,0,8
2020-04-01,6,1,8,1,20,10,11,21
2020-04-01,6,2,4,0,3,6,1,8
2020-04-01,7,1,8,0,8,2,4,4
2020-04-01,7,2,6,2,1,2,1,3
2020-04-01,A,1,10,10,18,25,15,18
2020-04-01,D,1,10,1,12,13,12,11
2020-04-01,D,2,4,0,3,1,0,2
2020-04-01,E,1,14,0,7,4,16,10
2020-04-01,E,2,4,0,3,0,0,2
2020-04-01,F,1,12,1,15,3,12,15
2020-04-01,F,2,7,0,1,1,4,2
2020-04-01,G,1,11,0,9,23,12,12
2020-04-01,G,2,4,0,3,3,3,1
2020-04-01,JZ,1,20,6,12,22,6,23
2020-04-01,JZ,2,9,2,6,12,1,14
2020-04-01,L,1,9,0,3,0,5,9
2020-04-01,L,2,3,1,0,0,0,0
2020-04-01,M,1,9,1,6,12,1,9
2020-04-01,M,2,4,0,0,2,1,6
2020-04-01,N,1,16,1,16,10,12,16
2020-04-01,N,2,4,1,6,5,2,4
2020-04-01,Q,1,14,2,19,8,11,22
2020-04-01,Q,2,5,0,3,6,6,11
2020-04-01,R,1,8,0,8,2,2,12
2020-04-01,R,2,4,1,1,2,2,3
2020-04-01,S Fkln,1,0,0,1,0,0,1
2020-04-01,S Fkln,2,0,0,0,0,0,1
2020-04-01,S Rock,1,2,11,0,0,1,3
2020-04-01,S Rock,2,0,4,0,0,0,0
2020-05-01,1,1,3,2,20,2,7,18
2020-05-01,1,2,12,0,12,5,2,11
2020-05-01,2,1,7,2,17,19,19,36
2020-05-01,2,2,18,2,31,55,15,25
2020-05-01,3,1,2,0,20,20,15,23
2020-05-01,3,2,9,1,7,26,5,10
2020-05-01,4,1,7,0,26,16,17,48
2020-05-01,4,2,11,1,8,34,13,36
2020-05-01,5,1,1,1,9,52,20,16
2020-05-01,5,2,5,0,3,17,2,13
2020-05-01,6,1,0,3,27,22,18,39
2020-05-01,6,2,16,0,11,12,8,15
2020-05-01,7,1,0,1,15,2,13,5
2020-05-01,7,2,7,0,17,3,11,7
2020-05-01,A,1,5,31,26,27,40,25
2020-05-01,A,2,10,12,18,16,14,15
2020-05-01,C,1,2,0,10,18,2,14
2020-05-01,C,2,6,0,11,15,1,12
2020-05-01,D,1,6,1,30,11,25,20
2020-05-01,D,2,8,1,16,4,7,18
2020-05-01,E,1,2,0,7,3,29,7
2020-05-01,E,2,4,1,5,4,12,4
2020-05-01,F,1,3,0,32,16,34,11
2020-05-01,F,2,5,1,8,8,16,9
2020-05-01,G,1,1,0,16,23,16,4
2020-05-01,G,2,1,0,5,24,12,8
2020-05-01,JZ,1,4,1,17,29,13,20
2020-05-01,JZ,2,4,2,6,15,4,7
2020-05-01,L,1,0,0,13,1,7,6
2020-05-01,L,2,4,0,12,0,2,9
2020-05-01,M,1,1,0,15,8,5,3
2020-05-01,M,2,0,0,6,0,2,3
2020-05-01,N,1,6,1,38,51,32,20
2020-05-01,N,2,11,1,16,32,13,7
2020-05-01,Q,1,2,0,27,14,17,19
2020-05-01,Q,2,6,1,23,9,7,11
2020-05-01,R,1,2,0,11,16,13,25
2020-05-01,R,2,4,0,9,3,5,15
2020-05-01,S Fkln,1,0,2,1,0,0,1
2020-05-01,S Fkln,2,0,0,1,0,0,1
2020-05-01,S Rock,1,1,4,7,1,3,1
2020-05-01,S Rock,2,0,3,0,2,0,0
2020-06-01,1,1,32,0,34,7,11,29
2020-06-01,1,2,9,0,8,8,3,8
2020-06-01,2,1,37,1,30,33,19,40
2020-06-01,2,2,8,2,7,38,14,20
2020-06-01,3,1,25,0,18,28,6,18
2020-06-01,3,2,2,0,6,30,5,10
2020-06-01,4,1,32,0,54,43,21,31
2020-06-01,4,2,4,0,23,29,23,11
2020-06-01,5,1,17,1,22,34,18,15
2020-06-01,5,2,0,0,2,8,5,3
2020-06-01,6,1,31,0,38,29,28,43
2020-06-01,6,2,6,0,10,12,8,11
2020-06-01,7,1,32,1,51,5,26,32
2020-06-01,7,2,12,0,13,1,6,12
2020-06-01,A,1,30,49,50,49,51,24
2020-06-01,A,2,9,3,16,7,9,6
2020-06-01,B,1,23,0,29,22,3,11
2020-06-01,C,1,29,1,15,20,4,13
2020-06-01,C,2,5,0,5,10,0,10
2020-06-01,D,1,29,1,34,45,28,43
2020-06-01,D,2,9,0,13,6,5,12
2020-06-01,E,1,14,0,21,30,36,9
2020-06-01,E,2,4,0,4,3,12,6
2020-06-01,F,1,8,0,50,16,34,14
2020-06-01,F,2,3,0,12,6,20,7
2020-06-01,G,1,7,1,21,25,19,5
2020-06-01,G,2,0,1,7,12,7,11
2020-06-01,JZ,1,17,0,22,28,14,17
2020-06-01,JZ,2,4,0,7,3,7,2
2020-06-01,L,1,3,1,16,1,12,14
2020-06-01,L,2,4,0,14,3,6,8
2020-06-01,M,1,9,1,12,31,4,17
2020-06-01,M,2,0,0,4,0,1,1
2020-06-01,N,1,39,4,67,74,51,26
2020-06-01,N,2,3,1,10,27,27,15
2020-06-01,Q,1,13,2,28,39,11,28
2020-06-01,Q,2,10,0,13,9,4,10
2020-06-01,R,1,22,0,19,37,16,31
2020-06-01,R,2,5,0,7,10,7,6
2020-06-01,S Fkln,1,0,0,6,0,0,3
2020-06-01,S Rock,1,0,10,1,2,2,0
2020-06-01,S Rock,2,0,3,0,0,0,0
2020-07-01,1,1,41,0,32,4,15,25
2020-07-01,1,2,7,0,11,3,4,9
2020-07-01,2,1,66,3,41,45,24,39
2020-07-01,2,2,7,1,12,43,20,17
2020-07-01,3,1,38,0,21,22,8,25
2020-07-01,3,2,7,0,11,33,11,14
2020-07-01,4,1,35,0,46,29,25,31
2020-07-01,4,2,12,0,22,25,31,20
2020-07-01,5,1,25,0,31,34,33,17
2020-07-01,5,2,0,0,1,0,0,0
2020-07-01,6,1,40,3,50,27,19,52
2020-07-01,6,2,7,0,8,17,6,14
2020-07-01,7,1,22,2,58,6,7,28
2020-07-01,7,2,3,0,13,1,5,6
2020-07-01,A,1,81,47,60,60,57,30
2020-07-01,A,2,6,12,26,12,9,13
2020-07-01,B,1,58,6,31,40,11,14
2020-07-01,C,1,40,1,38,13,3,16
2020-07-01,C,2,8,1,8,10,4,9
2020-07-01,D,1,55,0,45,52,45,20
2020-07-01,D,2,9,0,15,10,10,16
2020-07-01,E,1,17,0,21,26,31,18
2020-07-01,E,2,0,0,8,4,15,8
2020-07-01,F,1,39,0,47,19,50,27
2020-07-01,F,2,4,0,11,12,16,3
2020-07-01,G,1,28,1,38,31,21,10
2020-07-01,G,2,0,0,8,29,8,3
2020-07-01,JZ,1,32,0,21,26,22,27
2020-07-01,JZ,2,3,0,10,3,6,6
2020-07-01,L,1,27,1,29,3,18,11
2020-07-01,L,2,5,0,9,1,3,5
2020-07-01,M,1,32,0,14,35,9,25
