Month,division,Line,Day Type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2018-01-01,B DIVISION,S Rock,1,3246,3506,0.925841415
2018-01-01,B DIVISION,W,1,5276,8316,0.634439634
2018-02-01,A DIVISION,1,1,6282,9239,0.679943717
2018-02-01,A DIVISION,2,1,2660,6033,0.440908337
2018-02-01,A DIVISION,3,1,3327,5413,0.614631443
2018-02-01,A DIVISION,4,1,3061,7241,0.422731667
2018-02-01,A DIVISION,5,1,3116,6284,0.495862508
2018-02-01,A DIVISION,6,1,5259,10695,0.491725105
2018-02-01,A DIVISION,7,1,7415,12143,0.610639875
2018-02-01,A DIVISION,S 42nd,1,11680,11831,0.98723692
2018-02-01,B DIVISION,A,1,3570,7011,0.509199829
2018-02-01,B DIVISION,B,1,1829,3769,0.485274609
2018-02-01,B DIVISION,C,1,1725,3800,0.453947368
2018-02-01,B DIVISION,D,1,2426,5080,0.477559055
2018-02-01,B DIVISION,E,1,3802,7585,0.501252472
2018-02-01,B DIVISION,F,1,2892,7619,0.379577372
2018-02-01,B DIVISION,G,1,3263,5320,0.613345865
2018-02-01,B DIVISION,JZ,1,3153,5301,0.594793435
2018-02-01,B DIVISION,L,1,9230,10184,0.906323645
2018-02-01,B DIVISION,M,1,6585,9095,0.724024189
2018-02-01,B DIVISION,N,1,3030,5375,0.56372093
2018-02-01,B DIVISION,Q,1,3951,6140,0.643485342
2018-02-01,B DIVISION,R,1,2930,5412,0.541389505
2018-02-01,B DIVISION,S Fkln,1,2242,2242,1.0
2018-02-01,B DIVISION,S Rock,1,1519,1593,0.953546767
2018-02-01,B DIVISION,W,1,2603,3591,0.724867725
2018-03-01,A DIVISION,1,1,7731,10389,0.744152469
2018-03-01,A DIVISION,2,1,3274,7019,0.466448212
2018-03-01,A DIVISION,3,1,3951,6328,0.624367889
2018-03-01,A DIVISION,4,1,3919,8276,0.473537941
2018-03-01,A DIVISION,5,1,3870,7282,0.531447405
2018-03-01,A DIVISION,6,1,6253,12380,0.505088853
2018-03-01,A DIVISION,7,1,7818,14087,0.554979769
2018-03-01,A DIVISION,S 42nd,1,13495,13662,0.987776314
2018-03-01,B DIVISION,A,1,4485,8118,0.552475979
2018-03-01,B DIVISION,B,1,2245,4248,0.528483992
2018-03-01,B DIVISION,C,1,2409,4400,0.5475
2018-03-01,B DIVISION,D,1,2948,5778,0.510211146
2018-03-01,B DIVISION,E,1,5131,8780,0.584396355
2018-03-01,B DIVISION,F,1,3942,8376,0.470630372
2018-03-01,B DIVISION,G,1,4260,6160,0.691558442
2018-03-01,B DIVISION,JZ,1,4322,6138,0.704138156
2018-03-01,B DIVISION,L,1,10532,11792,0.893147897
2018-03-01,B DIVISION,M,1,8160,10530,0.774928775
2018-03-01,B DIVISION,N,1,3827,6476,0.590951204
2018-03-01,B DIVISION,Q,1,4762,6834,0.696810067
2018-03-01,B DIVISION,R,1,4048,6266,0.646026173
2018-03-01,B DIVISION,S Fkln,1,2590,2596,0.997688752
2018-03-01,B DIVISION,S Rock,1,1638,1744,0.939220183
2018-03-01,B DIVISION,W,1,2997,4158,0.720779221
2018-04-01,A DIVISION,1,1,7044,9729,0.724020968
2018-04-01,A DIVISION,2,1,3506,7104,0.493524775
2018-04-01,A DIVISION,3,1,4340,6231,0.696517413
2018-04-01,A DIVISION,4,1,4253,7797,0.545466205
2018-04-01,A DIVISION,5,1,3751,6964,0.538627226
2018-04-01,A DIVISION,6,1,6356,11941,0.532283728
2018-04-01,A DIVISION,7,1,7638,13378,0.57093736
2018-04-01,A DIVISION,S 42nd,1,13036,13156,0.990878687
